,LM,Adam,Grad,SciPy
0,-1.0821093970514837,-0.4362912622570761,-0.43634074701547054,-1.0941104775871016
1,-1.0900992625186767,-1.0938916484923504,-1.0940771713786672,-1.09411047750771
2,-1.0896034450466463,-1.0940586903348202,-1.0940767232502542,-1.094110477560933
3,-1.0751963295753786,-1.0941086009309131,-0.4363408661201273,-0.4363740793613315
4,-1.0442165014540516,-0.4362770016884257,-0.43634112811334974,-0.4363740793519178
5,-1.088861261713354,-0.4363669796840403,-0.4363536370568515,-0.43637407934314665
6,-1.0646104662851696,-1.0941012293279866,-1.0940813433161838,-1.0941104775768071
7,-1.0808402668052013,-0.436363261947638,-1.0940918295112678,-1.0941104774704555
8,-1.0750750305445975,-1.0941056921960928,-1.0940774070981902,-1.0941104775861703
9,-1.0903964839941078,-1.0940195910354975,-1.0940771156869806,-1.0941104773907304
10,-1.0870729520798093,-1.0940435003404607,-1.0940767708972672,-1.094110477583063
11,-1.074483230884736,-1.0940595252778929,-1.0940772009361366,-1.0941104775532522
12,-1.080044542111579,-1.0940304552887776,-1.094079469328169,-1.0941104775001445
13,-0.4301764231624348,-0.4363688701594472,-0.4363452149017133,-0.4363740788969927
14,-1.0866487141393468,-1.0941075215568974,-1.0940768139577506,-1.0941104775829895
15,-1.080848579281544,-1.0940810168436714,-1.0940767918934058,-1.094110477567251
16,-1.0804871485987038,-1.0939300898922748,-0.43636723934835947,-1.094110477574938
17,-1.0861572668811523,-0.4363284856403196,-0.436365583958591,-0.4363740792943893
18,-1.0880922816414524,-1.0940335930215341,-1.094076741832258,-1.0941104767629886
19,-1.0467191990912916,-1.0940780148758793,-1.0940767044343378,-1.0941104775836161
